Index des jours,Average_timespent_per_person
18/02/2021,0:01:02
19/02/2021,0:01:08
20/02/2021,0:00:57
21/02/2021,0:00:49
22/02/2021,0:00:50
23/02/2021,0:00:49
24/02/2021,0:00:44
25/02/2021,0:00:48
26/02/2021,0:00:49
27/02/2021,0:00:43
28/02/2021,0:00:43
1/3/2021,0:00:49
2/3/2021,0:00:46
3/3/2021,0:00:47
4/3/2021,0:00:44
5/3/2021,0:00:42
6/3/2021,0:00:44
7/3/2021,0:00:50
8/3/2021,0:00:49
9/3/2021,0:00:48
10/3/2021,0:00:49
11/3/2021,0:00:47
12/3/2021,0:00:46
13/03/2021,0:00:49
14/03/2021,0:00:49
15/03/2021,0:00:46
16/03/2021,0:00:49
17/03/2021,0:00:44
18/03/2021,0:00:46
19/03/2021,0:00:47
20/03/2021,0:00:45
21/03/2021,0:00:48
22/03/2021,0:00:46
23/03/2021,0:00:48
24/03/2021,0:00:50
25/03/2021,0:00:52
26/03/2021,0:00:52
27/03/2021,0:00:54
28/03/2021,0:00:52
29/03/2021,0:00:53
30/03/2021,0:00:52
31/03/2021,0:00:57
1/4/2021,0:00:50
2/4/2021,0:00:57
3/4/2021,0:00:52
4/4/2021,0:00:52
5/4/2021,0:00:51
6/4/2021,0:00:51
7/4/2021,0:00:51
8/4/2021,0:00:43
9/4/2021,0:00:49
10/4/2021,0:00:45
11/4/2021,0:00:51
12/4/2021,0:00:50
13/04/2021,0:00:49
14/04/2021,0:00:51
15/04/2021,0:00:48
16/04/2021,0:00:50
17/04/2021,0:00:52
18/04/2021,0:00:54
19/04/2021,0:00:50
20/04/2021,0:00:51
21/04/2021,0:00:53
22/04/2021,0:00:51
23/04/2021,0:00:48
24/04/2021,0:00:45
25/04/2021,0:00:55
26/04/2021,0:00:53
27/04/2021,0:00:46
28/04/2021,0:01:02
29/04/2021,0:01:01
30/04/2021,0:00:56
1/5/2021,0:00:55
2/5/2021,0:00:58
3/5/2021,0:00:44
4/5/2021,0:00:54
5/5/2021,0:00:50
6/5/2021,0:00:52
7/5/2021,0:00:48
8/5/2021,0:00:50
9/5/2021,0:00:43
10/5/2021,0:00:43
11/5/2021,0:00:43
12/5/2021,0:00:54
13/05/2021,0:00:46
14/05/2021,0:00:51
15/05/2021,0:01:00
16/05/2021,0:00:55
17/05/2021,0:01:00
18/05/2021,0:00:55
19/05/2021,0:00:53
20/05/2021,0:00:46
21/05/2021,0:00:48
22/05/2021,0:01:02
23/05/2021,0:00:51
24/05/2021,0:00:52
25/05/2021,0:00:48
26/05/2021,0:00:44
27/05/2021,0:01:08
28/05/2021,0:00:50
29/05/2021,0:00:58
30/05/2021,0:00:54
31/05/2021,0:00:48
1/6/2021,0:00:45
2/6/2021,0:00:44
3/6/2021,0:00:53
4/6/2021,0:00:57
5/6/2021,0:00:52
6/6/2021,0:00:51
7/6/2021,0:00:49
8/6/2021,0:01:03
9/6/2021,0:01:01
10/6/2021,0:00:56
11/6/2021,0:00:53
12/6/2021,0:00:49
13/06/2021,0:00:56
14/06/2021,0:00:43
15/06/2021,0:00:54
16/06/2021,0:01:17
17/06/2021,0:01:13
18/06/2021,0:01:03
19/06/2021,0:00:50
20/06/2021,0:00:52
21/06/2021,0:01:02
22/06/2021,0:00:50
23/06/2021,0:00:49
24/06/2021,0:00:52
25/06/2021,0:00:51
26/06/2021,0:00:47
27/06/2021,0:00:47
28/06/2021,0:00:49
29/06/2021,0:00:56
30/06/2021,0:00:49
1/7/2021,0:00:43
2/7/2021,0:00:47
3/7/2021,0:01:02
4/7/2021,0:00:51
5/7/2021,0:00:49
6/7/2021,0:00:41
7/7/2021,0:00:46
8/7/2021,0:01:03
9/7/2021,0:00:49
10/7/2021,0:00:52
11/7/2021,0:00:46
12/7/2021,0:00:49
13/07/2021,0:00:53
14/07/2021,0:00:46
15/07/2021,0:00:55
16/07/2021,0:00:43
17/07/2021,0:00:43
18/07/2021,0:00:56
19/07/2021,0:00:53
20/07/2021,0:00:53
21/07/2021,0:00:47
22/07/2021,0:00:51
23/07/2021,0:00:47
24/07/2021,0:00:55
25/07/2021,0:00:48
26/07/2021,0:00:53
27/07/2021,0:00:59
28/07/2021,0:00:54
29/07/2021,0:00:48
30/07/2021,0:00:49
31/07/2021,0:00:47
1/8/2021,0:00:43
2/8/2021,0:00:50
3/8/2021,0:00:45
4/8/2021,0:00:49
5/8/2021,0:00:50
6/8/2021,0:00:51
7/8/2021,0:00:52
8/8/2021,0:00:47
9/8/2021,0:00:42
10/8/2021,0:00:49
11/8/2021,0:00:50
12/8/2021,0:00:48
13/08/2021,0:00:52
,
